,changepoint_prior_scale,seasonality_prior_scale,holidays_prior_scale,seasonality_mode,changepoint_range,mse
154,0.01,1.0,10.0,additive,0.9,0.050552660785362406
155,0.01,1.0,10.0,additive,0.95,0.04593521555970949
156,0.01,1.0,10.0,multiplicative,0.8,0.08174308792590128
157,0.01,1.0,10.0,multiplicative,0.85,0.05239477957090229
158,0.01,1.0,10.0,multiplicative,0.9,0.04886474346251871
159,0.01,1.0,10.0,multiplicative,0.95,0.048722570144398604
160,0.05,0.01,0.01,additive,0.8,0.0552386515060691
161,0.05,0.01,0.01,additive,0.85,0.03012418496107552
162,0.05,0.01,0.01,additive,0.9,0.038591673371322376
163,0.05,0.01,0.01,additive,0.95,0.039138382655721934
164,0.05,0.01,0.01,multiplicative,0.8,0.05549223790155089
165,0.05,0.01,0.01,multiplicative,0.85,0.03046938770600397
166,0.05,0.01,0.01,multiplicative,0.9,0.040341931248730346
167,0.05,0.01,0.01,multiplicative,0.95,0.03824901408196961
168,0.05,0.01,0.1,additive,0.8,0.0552386515060691
169,0.05,0.01,0.1,additive,0.85,0.03012418496107552
170,0.05,0.01,0.1,additive,0.9,0.038591673371322376
171,0.05,0.01,0.1,additive,0.95,0.039138382655721934
172,0.05,0.01,0.1,multiplicative,0.8,0.05549223790155089
173,0.05,0.01,0.1,multiplicative,0.85,0.03046938770600397
174,0.05,0.01,0.1,multiplicative,0.9,0.040341931248730346
175,0.05,0.01,0.1,multiplicative,0.95,0.03824901408196961
176,0.05,0.01,0.5,additive,0.8,0.0552386515060691
177,0.05,0.01,0.5,additive,0.85,0.03012418496107552
178,0.05,0.01,0.5,additive,0.9,0.038591673371322376
179,0.05,0.01,0.5,additive,0.95,0.039138382655721934
180,0.05,0.01,0.5,multiplicative,0.8,0.05549223790155089
181,0.05,0.01,0.5,multiplicative,0.85,0.03046938770600397
182,0.05,0.01,0.5,multiplicative,0.9,0.040341931248730346
183,0.05,0.01,0.5,multiplicative,0.95,0.03824901408196961
184,0.05,0.01,1.0,additive,0.8,0.0552386515060691
185,0.05,0.01,1.0,additive,0.85,0.03012418496107552
186,0.05,0.01,1.0,additive,0.9,0.038591673371322376
187,0.05,0.01,1.0,additive,0.95,0.039138382655721934
188,0.05,0.01,1.0,multiplicative,0.8,0.05549223790155089
189,0.05,0.01,1.0,multiplicative,0.85,0.03046938770600397
190,0.05,0.01,1.0,multiplicative,0.9,0.040341931248730346
191,0.05,0.01,1.0,multiplicative,0.95,0.03824901408196961
192,0.05,0.01,10.0,additive,0.8,0.0552386515060691
193,0.05,0.01,10.0,additive,0.85,0.03012418496107552
194,0.05,0.01,10.0,additive,0.9,0.038591673371322376
195,0.05,0.01,10.0,additive,0.95,0.039138382655721934
196,0.05,0.01,10.0,multiplicative,0.8,0.05549223790155089
197,0.05,0.01,10.0,multiplicative,0.85,0.03046938770600397
198,0.05,0.01,10.0,multiplicative,0.9,0.040341931248730346
199,0.05,0.01,10.0,multiplicative,0.95,0.03824901408196961
200,0.05,0.1,0.01,additive,0.8,0.055116576626979684
201,0.05,0.1,0.01,additive,0.85,0.030121508066519122
202,0.05,0.1,0.01,additive,0.9,0.03882307694761154
203,0.05,0.1,0.01,additive,0.95,0.03766842840731342
204,0.05,0.1,0.01,multiplicative,0.8,0.055672235286708
205,0.05,0.1,0.01,multiplicative,0.85,0.030590898247343897
206,0.05,0.1,0.01,multiplicative,0.9,0.04064649912754711
207,0.05,0.1,0.01,multiplicative,0.95,0.03757876964534619
208,0.05,0.1,0.1,additive,0.8,0.055116576626979684
209,0.05,0.1,0.1,additive,0.85,0.030121508066519122
210,0.05,0.1,0.1,additive,0.9,0.03882307694761154
211,0.05,0.1,0.1,additive,0.95,0.03766842840731342
212,0.05,0.1,0.1,multiplicative,0.8,0.055672235286708
213,0.05,0.1,0.1,multiplicative,0.85,0.030590898247343897
214,0.05,0.1,0.1,multiplicative,0.9,0.04064649912754711
215,0.05,0.1,0.1,multiplicative,0.95,0.03757876964534619
216,0.05,0.1,0.5,additive,0.8,0.055116576626979684
217,0.05,0.1,0.5,additive,0.85,0.030121508066519122
218,0.05,0.1,0.5,additive,0.9,0.03882307694761154
219,0.05,0.1,0.5,additive,0.95,0.03766842840731342
220,0.05,0.1,0.5,multiplicative,0.8,0.055672235286708
221,0.05,0.1,0.5,multiplicative,0.85,0.030590898247343897
222,0.05,0.1,0.5,multiplicative,0.9,0.04064649912754711
223,0.05,0.1,0.5,multiplicative,0.95,0.03757876964534619
224,0.05,0.1,1.0,additive,0.8,0.055116576626979684
225,0.05,0.1,1.0,additive,0.85,0.030121508066519122
226,0.05,0.1,1.0,additive,0.9,0.03882307694761154
227,0.05,0.1,1.0,additive,0.95,0.03766842840731342
228,0.05,0.1,1.0,multiplicative,0.8,0.055672235286708
229,0.05,0.1,1.0,multiplicative,0.85,0.030590898247343897
230,0.05,0.1,1.0,multiplicative,0.9,0.04064649912754711
231,0.05,0.1,1.0,multiplicative,0.95,0.03757876964534619
232,0.05,0.1,10.0,additive,0.8,0.055116576626979684
233,0.05,0.1,10.0,additive,0.85,0.030121508066519122
234,0.05,0.1,10.0,additive,0.9,0.03882307694761154
235,0.05,0.1,10.0,additive,0.95,0.03766842840731342
236,0.05,0.1,10.0,multiplicative,0.8,0.055672235286708
237,0.05,0.1,10.0,multiplicative,0.85,0.030590898247343897
238,0.05,0.1,10.0,multiplicative,0.9,0.04064649912754711
