Order,Seasonal_Order,MSE,AIC
"(1, 0, 1)","(3, 4, 2, 4)",2.2069868770312975,-7755.8278379408175
"(1, 0, 1)","(3, 4, 3, 4)",2.686842615231219,-7698.787997425121
"(1, 0, 1)","(3, 4, 4, 4)",1.9682473582895,-7634.389302800152
"(1, 0, 2)","(0, 1, 1, 4)",0.01384630188980029,-9859.311380459125
"(1, 0, 2)","(0, 1, 2, 4)",0.01565028384141484,-9849.553935053633
"(1, 0, 2)","(0, 1, 3, 4)",0.021151521237606805,-9828.478522389156
"(1, 0, 2)","(0, 1, 4, 4)",0.018018581855781597,-9831.542539729502
"(1, 0, 2)","(0, 2, 1, 4)",0.010248236586476025,-8983.97543910674
"(1, 0, 2)","(0, 2, 2, 4)",0.09226412436143613,-9726.329959221217
"(1, 0, 2)","(0, 2, 3, 4)",0.012290542534330113,-9727.86993580587
"(1, 0, 2)","(0, 2, 4, 4)",0.00919630371767011,-9783.051076978303
"(1, 0, 2)","(0, 3, 1, 4)",0.3145956653866083,-7741.993392314126
"(1, 0, 2)","(0, 3, 2, 4)",0.09443369836765339,-8740.821172331587
"(1, 0, 2)","(0, 3, 3, 4)",0.08943107278963483,-8706.116043439897
"(1, 0, 2)","(0, 3, 4, 4)",0.24576933158513156,-8811.73738803998
"(1, 0, 2)","(0, 4, 1, 4)",2.571172412085183,-7319.641119053104
"(1, 0, 2)","(0, 4, 2, 4)",0.4265480295564917,-8330.971547762605
"(1, 0, 2)","(0, 4, 3, 4)",0.4275327055281769,-8467.033124571219
"(1, 0, 2)","(0, 4, 4, 4)",0.3161565043596456,-8440.772575989806
"(1, 0, 2)","(1, 1, 1, 4)",0.013353128418218146,-9863.89755200132
"(1, 0, 2)","(1, 1, 2, 4)",0.014348079116613007,-9856.314326336182
"(1, 0, 2)","(1, 1, 3, 4)",0.010458204520241274,-9843.272563544477
"(1, 0, 2)","(1, 1, 4, 4)",0.016894234314284894,-9819.316952313493
"(1, 0, 2)","(1, 2, 1, 4)",0.011131526474207499,-9187.251653198151
"(1, 0, 2)","(1, 2, 2, 4)",0.0159882238990867,-9719.167900629665
"(1, 0, 2)","(1, 2, 3, 4)",0.012613255001964164,-9788.241899291921
"(1, 0, 2)","(1, 2, 4, 4)",0.012103640638197464,-9777.9489757684
"(1, 0, 2)","(1, 3, 1, 4)",0.5949461606954196,-8213.71069937037
"(1, 0, 2)","(1, 3, 2, 4)",0.3314106884704919,-8240.538631363337
"(1, 0, 2)","(1, 3, 3, 4)",0.21504308496358418,-8662.792802348713
"(1, 0, 2)","(1, 3, 4, 4)",0.34564006832148436,-8684.431678124602
"(1, 0, 2)","(1, 4, 1, 4)",3.0733277675147903,-7645.4668984167565
"(1, 0, 2)","(1, 4, 2, 4)",2.419403086624365,-7461.622195209971
"(1, 0, 2)","(1, 4, 3, 4)",0.40903444221589114,-8395.078485836271
"(1, 0, 2)","(1, 4, 4, 4)",1.343689876637103,-8180.531654738082
"(1, 0, 2)","(2, 1, 1, 4)",0.013755518027465819,-9797.875491162535
"(1, 0, 2)","(2, 1, 2, 4)",0.01575152968561922,-9849.902807336755
"(1, 0, 2)","(2, 1, 3, 4)",0.013067963636654311,-9832.784420036438
"(1, 0, 2)","(2, 1, 4, 4)",0.01413130483857995,-9840.424626370814
"(1, 0, 2)","(2, 2, 1, 4)",0.012833860410567086,-9378.434053384175
"(1, 0, 2)","(2, 2, 2, 4)",0.0154705723728354,-9253.339616103014
"(1, 0, 2)","(2, 2, 3, 4)",0.07759033867214793,-9428.868603462408
"(1, 0, 2)","(2, 2, 4, 4)",0.014960391294600323,-9723.708748665522
"(1, 0, 2)","(2, 3, 1, 4)",0.5943264614575388,-8218.157677935702
"(1, 0, 2)","(2, 3, 2, 4)",0.3226896303078688,-8303.718434127475
"(1, 0, 2)","(2, 3, 3, 4)",0.2884863934092553,-8218.287716483908
"(1, 0, 2)","(2, 3, 4, 4)",0.12730796301647795,-8744.730732095548
"(1, 0, 2)","(2, 4, 1, 4)",3.359114989986729,-7726.150445613365
"(1, 0, 2)","(2, 4, 2, 4)",1.707672390945347,-7748.952034395074
"(1, 0, 2)","(2, 4, 3, 4)",2.3978035630045484,-7536.830129471846
"(1, 0, 2)","(2, 4, 4, 4)",1.3848043843496092,-8125.127548797526
"(1, 0, 2)","(3, 1, 1, 4)",0.01695406481537042,-9759.63167647307
"(1, 0, 2)","(3, 1, 2, 4)",0.014249522289654976,-9841.05647569871
"(1, 0, 2)","(3, 1, 3, 4)",0.016685246047470646,-9835.168447677419
"(1, 0, 2)","(3, 1, 4, 4)",0.01095957310625591,-9829.811691937048
"(1, 0, 2)","(3, 2, 1, 4)",0.03968651548301736,-9420.69875000576
"(1, 0, 2)","(3, 2, 2, 4)",0.01474292831410528,-9393.479537323128
"(1, 0, 2)","(3, 2, 3, 4)",0.015646979017744766,-9317.361416051299
"(1, 0, 2)","(3, 2, 4, 4)",0.05986315220425355,-9532.223337763902
"(1, 0, 2)","(3, 3, 1, 4)",0.3979587579390666,-8191.204223280605
"(1, 0, 2)","(3, 3, 2, 4)",0.4038937093989407,-8281.520713524227
"(1, 0, 2)","(3, 3, 3, 4)",0.3323904522358596,-8317.227951669327
"(1, 0, 2)","(3, 3, 4, 4)",0.2362722236304518,-8255.451225650308
"(1, 0, 2)","(3, 4, 1, 4)",3.147722212721476,-7466.728490173109
"(1, 0, 2)","(3, 4, 2, 4)",1.8751929893515396,-7769.423261495971
"(1, 0, 2)","(3, 4, 3, 4)",1.7853372487724137,-7694.643496581317
"(1, 0, 2)","(3, 4, 4, 4)",1.8893969156859787,-7584.615718323155
"(1, 1, 0)","(0, 1, 1, 4)",0.010000085623019567,-9863.084222109233
"(1, 1, 0)","(0, 1, 2, 4)",0.009998312456441654,-9861.763121847547
"(1, 1, 0)","(0, 1, 3, 4)",0.010029785837245014,-9861.326306870693
"(1, 1, 0)","(0, 1, 4, 4)",0.013464616247640518,-9857.675443180235
"(1, 1, 0)","(0, 2, 1, 4)",0.06192587456735689,-8459.02189198281
"(1, 1, 0)","(0, 2, 2, 4)",0.014352312306901501,-9768.926425909347
"(1, 1, 0)","(0, 2, 3, 4)",0.01573510316147231,-9768.556602265255
"(1, 1, 0)","(0, 2, 4, 4)",0.01494114219142131,-9761.124657563047
"(1, 1, 0)","(0, 3, 1, 4)",9.046148899432,-7053.637702493407
"(1, 1, 0)","(0, 3, 2, 4)",0.37267108831577045,-8620.846331299392
"(1, 1, 0)","(0, 3, 3, 4)",0.35900485432150014,-8644.529482605325
"(1, 1, 0)","(0, 3, 4, 4)",0.34942059194391795,-8757.090681789452
"(1, 1, 0)","(0, 4, 1, 4)",82.95240578991218,-6873.081924611111
"(1, 1, 0)","(0, 4, 2, 4)",1.8572226620569598,-8345.117901603688
"(1, 1, 0)","(0, 4, 3, 4)",0.5587502098287809,-8145.492476280202
"(1, 1, 0)","(0, 4, 4, 4)",0.3941818827215555,-8694.490391427536
"(1, 1, 0)","(1, 1, 1, 4)",0.009965719064317466,-9861.843689187977
"(1, 1, 0)","(1, 1, 2, 4)",0.009761443265484945,-9863.411242264096
"(1, 1, 0)","(1, 1, 3, 4)",0.011139356742241587,-9862.036489079497
"(1, 1, 0)","(1, 1, 4, 4)",0.010291233047146294,-9862.99028663745
"(1, 1, 0)","(1, 2, 1, 4)",0.0307857480141365,-9019.630631448028
"(1, 1, 0)","(1, 2, 2, 4)",0.01601222401104197,-9768.727619080924
"(1, 1, 0)","(1, 2, 3, 4)",0.014206754095580743,-9745.275981577626
"(1, 1, 0)","(1, 2, 4, 4)",0.01424392914528017,-9775.032771470374
"(1, 1, 0)","(1, 3, 1, 4)",2.6366905234417986,-8159.344106218569
"(1, 1, 0)","(1, 3, 2, 4)",2.599779529142263,-8154.402022379456
"(1, 1, 0)","(1, 3, 3, 4)",0.40764986878544773,-8639.228739540777
"(1, 1, 0)","(1, 3, 4, 4)",0.4038904493053959,-8646.981632382021
"(1, 1, 0)","(1, 4, 1, 4)",33.503525883134685,-7537.096216395885
"(1, 1, 0)","(1, 4, 2, 4)",1.7491213140368012,-8357.587255186729
"(1, 1, 0)","(1, 4, 3, 4)",1.8180268074215458,-8333.08728955393
